Dallas,2019,NFL,8,727432,90929
New York,2019,NFL,8,628184,78523
Green Bay,2019,NFL,8,622762,77845
Denver,2019,NFL,8,607497,75937
New York,2019,NFL,8,597316,74664
Kansas City,2019,NFL,8,587723,73465
New Orleans,2019,NFL,8,584660,73082
Carolina,2019,NFL,8,577765,72220
Houston,2019,NFL,8,574345,71793
Atlanta,2019,NFL,8,572811,71601
Los Angeles,2019,NFL,7,498605,71229
Baltimore,2019,NFL,8,565020,70627
San Francisco,2019,NFL,8,562443,70305
Philadelphia,2019,NFL,8,558268,69783
Seattle,2019,NFL,8,551927,68990
Buffalo,2019,NFL,8,550713,68839
Cleveland,2019,NFL,8,539448,67431
Minnesota,2019,NFL,8,534794,66849
New England,2019,NFL,8,526024,65753
Washington,2019,NFL,8,523906,65488
Tennessee,2019,NFL,8,516074,64509
Jacksonville,2019,NFL,8,504686,63085
Miami,2019,NFL,8,504540,63067
Pittsburgh,2019,NFL,8,497896,62237
Chicago,2019,NFL,8,495332,61916
Detroit,2019,NFL,8,490737,61342
Arizona,2019,NFL,8,490586,61323
Indianapolis,2019,NFL,8,488886,61110
Las Vegas,2019,NFL,7,367848,52549
Tampa Bay,2019,NFL,8,415189,51898
Cincinnati,2019,NFL,8,377432,47179
Los Angeles,2019,NFL,8,254007,31750
St. Louis,2019,MLB,81,3480393,42967
NY Yankees,2019,MLB,79,3304404,41827
Chicago Cubs,2019,MLB,81,3094865,38208
ngels,2019,MLB,81,3023010,37321
Colorado,2019,MLB,81,2993244,36953
Boston,2019,MLB,81,2924627,36106
Milwaukee,2019,MLB,81,2923333,36090
Houston,2019,MLB,81,2857367,35276
Philadelphia,2019,MLB,81,2727421,33671
San Francisco,2019,MLB,81,2707760,33429
tlanta,2019,MLB,81,2654920,32776
NY Mets,2019,MLB,80,2442532,30531
San Diego,2019,MLB,81,2396399,29585
Minnesota,2019,MLB,81,2294152,28322
Washington,2019,MLB,81,2259781,27898
rizona,2019,MLB,81,2135510,26364
Texas,2019,MLB,81,2133004,26333
Cincinnati,2019,MLB,81,1808685,22329
Seattle,2019,MLB,81,1791937,22122
Cleveland,2019,MLB,79,1738642,22008
Toronto,2019,MLB,81,1750144,21606
Chicago White Sox,2019,MLB,76,1629636,21442
Oakland,2019,MLB,81,1662211,20521
Detroit,2019,MLB,80,1501430,18767
Kansas City,2019,MLB,80,1479659,18495
Pittsburgh,2019,MLB,81,1491429,18412
Baltimore,2019,MLB,80,1307807,16347
Tampa Bay,2019,MLB,80,1178735,14734
Miami,2019,MLB,81,811302,10016
Bulls,2019,NBA,41,823475,20084
Mavericks,2019,NBA,41,820569,20013
Raptors,2019,NBA,41,812822,19824
Heat,2019,NBA,41,805264,19640
Warriors,2019,NBA,41,803436,19596
Trail Blazers,2019,NBA,41,799345,19496
Cavaliers,2019,NBA,41,793337,19349
NY Knicks,2019,NBA,41,779087,19002
Lakers,2019,NBA,41,778877,18997
Celtics,2019,NBA,41,763584,18624
Nuggets,2019,NBA,41,756457,18450
Spurs,2019,NBA,41,750616,18307
Jazz,2019,NBA,41,750546,18306
Thunder,2019,NBA,41,746323,18203
Rockets,2019,NBA,41,740392,18058
Bucks,2019,NBA,41,721692,17602
Magic,2019,NBA,41,720024,17561
Wizards,2019,NBA,41,716996,17487
Clippers,2019,NBA,41,710327,17325
Kings,2019,NBA,41,700975,17096
Pacers,2019,NBA,41,689310,16812
Hornets,2019,NBA,41,676570,16501
Pistons,2019,NBA,41,675963,16486
Pelicans,2019,NBA,41,656183,16004
Grizzlies,2019,NBA,41,607564,15578
Hawks,2019,NBA,41,628440,15327
Timberwolves,2019,NBA,41,627543,15305
Suns,2019,NBA,41,627023,15293
Nets,2019,NBA,41,612597,14941
Leb,2019,NBA,0,0,0
World,2019,NBA,0,0,0
Usa,2019,NBA,1,0,0
Gia,2019,NBA,1,0,0
Montreal,2019,NHL,41,862914,21046
Philadelphia,2019,NHL,41,835242,20371
Toronto,2019,NHL,41,790316,19276
Detroit,2019,NHL,41,783958,19120
Tampa Bay,2019,NHL,41,782772,19092
Minnesota,2019,NHL,41,775216,18907
Pittsburgh,2019,NHL,41,761203,18565
Washington,2019,NHL,41,758845,18508
Calgary,2019,NHL,41,758550,18501
Edmonton,2019,NHL,41,752227,18347
Vegas,2019,NHL,41,751067,18318
Dallas,2019,NHL,41,745314,18178
Vancouver,2019,NHL,41,738918,18022
Los Angeles,2019,NHL,41,738029,18000
Buffalo,2019,NHL,41,734238,17908
Boston,2019,NHL,41,720165,17565
Nashville,2019,NHL,41,715276,17445
St. Louis,2019,NHL,41,711823,17361
New York,2019,NHL,41,710074,17318
San Jose,2019,NHL,41,707909,17266
Colorado,2019,NHL,41,702446,17132
Anaheim,2019,NHL,41,689385,16814
Columbus,2019,NHL,41,682984,16658
Winnipeg,2019,NHL,41,626330,15276
New Jersey,2019,NHL,41,608210,14834
Ottawa,2019,NHL,41,596684,14553
Carolina,2019,NHL,41,587222,14322
Arizona,2019,NHL,41,573552,13989
Florida,2019,NHL,30,543734,13261
New York,2019,NHL,31,510150,12442
